SIGLA,ENDEREÇO,LAT/LONG
ABS,"Av. Queirós dos Santos, 786 - Centro, Santo André - SP, 09015-310","-23.656149, -46.522961"
AJU,"Avenida Marechal Cândido Mariano da Silva Rondon,920 - Jabotiana, Aracaju - SE, 49095-790","-10.921031, -37.092126"
AQA,"Braspress Transportes Urgentes | Araraquara - AQA, Lot. Ind. e Com - Avenida São Caetano, 237 - Lote 07-08-09 - São Caetano, Araraquara - SP, 14804-318","-21.784852, -48.218320"
ARU,"R, Av. José Ferreira Baptista, 1907, Araçatuba - SP, 16052-000","-21.185624, -50.441702"
BAU,"BRASPRESS, Jardim Jaragua, Bauru - SP","-22.279225, -49.091510"
BCG,"R. Oito, 250 - Jardim Riacho das Pedras, Contagem - MG, 32250-070","-19.970330, -44.067612"
BEL,"Braspress Transportes Urgentes | Belém - BEL, BR-316, 5100 - KM 05 - Galpões 3 e 4 - Coqueiro, Ananindeua - PA, 67015-220","-1.375182, -48.402169"
BHZ,"Galpão - Av. César Augusto Faria Simões, 445 - Jardim Riacho das Pedras, Contagem - MG, 32242-190","-19.968969, -44.068475"
BJD,"Av. Emilio Chechinato, 2257","-23.142914, -47.043193"
BNU,"Rua Dr. Pedro Zimmermann, 1938 - Itoupavazinha, Blumenau - SC, 89066-000","-26.857653, -49.085540"
BSB,"STRC Trecho 3 e 6 - Brasília, DF, 71225-520","15.792827, -47.985415"
BTA,"Rod. Pres. Dutra-Pista Lateral, 1574 - Cumbica, Guarulhos - SP, 07180-903","-23.456539, -46.482019"
BTB,"Alameda Rio Preto, 353 - Tamboré, Barueri - SP","-23.503987, -46.828636"
CAC,"Av. Dr. Ezuel Portes, 24517 - Guarujá, Cascavel - PR, 85804-603","-25.002370, -53.522607"
CAU,"Braspress Transportes Urgentes | Caruaru - CAU, ROD BR-104, 0 - Nova Caruaru, PE, 55014-215","-8.249771, -35.975319"
CAW,"Braspress Transportes Urgentes | Campos dos Goytacazes - CAW, Av. Dr. Nilo Peçanha, 1430 - Parque Santo Amaro, Campos dos Goytacazes - RJ, 28030-035","-21.774411, -41.362652"
CCM,"Rod. Gov. Jorge Lacerda, 1730 - Verdinho, Criciúma - SC, 88814-552","-28.810234, -49.406093"
CCT,"Av. do Estado, 2000 - Luz, São Paulo - SP, 01108-000","-23.533179, -46.625963"
CGB,"R B/E, 510 - Qd 14 - Distrito Industrial, Cuiabá - MT, 78098-285","-15.658942, -55.990790"
COL,"Braspress Transportes Urgentes | Colatina - COL, Av. das Nações, 3000 - Ibc, Colatina - ES, 29712-408","-19.518076, -40.605090"
CPE,"Braspress Transportes Urgentes, R. Ricardo Dias Alves, 87 - Terminal Intermodal de Cargas (Tic), Campinas - SP, 13069-103","-22.844347, -47.153308"
CPQ,"R. Ricardo Dias Alves, 381 - Terminal Intermodal de Cargas (Tic), Campinas - SP, 13069-103","-22.846653, -47.154697"
CPV,"Av. Aeroclube, 1000 - Distrito Industrial, Campina Grande - PB, 58411-370","-7.267767, -35.891759"
CSU,"BRASPRESS, Distrito Industrial, Santa Cruz do Sul - RS, 96810-460","-29.714156, -52.444764"
CWB,"R. João Bettega, 3802 - Cidade Industrial de Curitiba, Curitiba - PR, 81350-000","-25.491312, -49.323340"
CXJ,"Braspress Transportes Urgentes | Caxias do Sul - CXJ, Rodovia RSC-453 , 0 Km 142 Sn - Santa Fé, RS, 95045-630","-29.126226, -51.179923"
CXO,"Av. Mauro Miranda Madureira, 1009 - Elpídio Volpini, Cachoeiro de Itapemirim - ES, 29309-712","-20.828681, -41.138821"
DIQ,"R. Dorinha Gontijo, 281 - Levindo Paula Pereira, Divinópolis - MG, 35502-057","-20.128382, -44.912840"
DPW,"Braspress Transportes Urgentes | Piracicaba - DPW, Av. Comendador Leopoldo Dedini, Parque, 2260 - Galpão 100 - Unileste, Piracicaba - SP, 13426-700","-22.719797, -47.581999"
EXT,"Av. Joaquim Lourenço De Lima , 126","-22.840118, -46.332419"
FLN,"Braspress Transportes Urgentes | Florianopolis - FLN, R. Jacobe Weingartner, 150 - Centro, Palhoça - SC, 88131-400","-27.659473, -48.676742"
FOR,"Rod. 4º Anel Viário, 2700 - 2700-A - Pedras, Fortaleza - CE, 60874-401","-3.868819, -38.509932"
FRC,"R. Paulo César Lopes, 2142 - Jardim Marambaia, Franca - SP, 14406-064","-20.543676, -47.438934"
FSA,"Braspress Transportes Urgentes | Feira de Santana - FSA, Av Deputado Luis Eduardo Magalhaes, S/N - KM 102, BR-234 - Subaé, Feira de Santana - BA, 44079-002","-12.279062, -38.924576"
GEL,"Braspress Transportes Urgentes| Santo Ângelo - GEL, RS-344 - Oliveira, Santo Ângelo - RS, 98801-220","-28.312379, -54.277955"
GPB,"Braspress, PR 466 KM 262 n° 2744 Bairro Aldeia CEP, Guarapuava - PR, 85050-290","-25.343199, -51.490386"
GRU,"Rod. Pres. Dutra-Pista Lateral, 1574 - Cumbica, Guarulhos - SP, 07180-903","-23.457668, -46.480981"
GVR,"Transportadora Americana Governador Valadares, Av. Industrial, 2020 - Galpão 04 Modulo I - Distrito Industrial, Gov. Valadares - MG, 35040-610","-18.895193, -41.992423"
GYN,"Rua Dos Ipes s/n B 3 Lote 2/3 Quadra R 3 Lote 2, 3, Goiânia - GO, 74681-235","-16.618873, -49.200918"
IMP,"Braspress Transportes Urgentes | Imperatriz - IMP, BR-010, KM 1347 - nº 35 - Nova Vitoria, Imperatriz - MA, 65913-460","-5.564090, -47.451197"
IPN,"R. Pedras Bonitas, 30 - Iguaçu, Ipatinga - MG, 35162-000","-19.476628, -42.543902"
ITB,"BR-116, KM 124 - Fonte Nova, Itaobim - MG, 39625-000","-16.622341, -41.502917"
ITG,"Braspress Transportes Urgentes | Itumbiara - ITG, R. Sta Rosa, Setor - Jardim America, Itumbiara - GO, 75550-000","-18.406748, -49.207656"
ITJ,"R. Antonio Victor Gonçalves, 250 - Área A4 - Salseiros, Itajaí - SC, 88311-549","-26.875939, -48.730438"
ITN,"BR-415, 6191 - Galpão 6 - Fernando Gomes, Itabuna - BA, 45613-550","-14.842213, -39.331759"
JDF,"Braspress Transportes Urgentes | Juiz de Fora - JDF, R. Joana D'Arc, S/N - Santa Cruz, Juiz de Fora - MG, 36088-390","-21.720634, -43.439221"
JDO,"Rua Bulandeira de Baixo, 165 - Bulandeira, Barbalha - CE, 63095-006","-7.284073, -39.322699"
JOI,"Braspress Transportes Urgentes | Joinville - JOI, R. Copacabana, 1770 - Floresta, Joinville - SC, 89211-380
","-26.339097, -48.858400"
JPA,"Braspress Transportes Urgentes | João Pessoa - JPA, Condominio Logistico industrial da Paraíba, Galpão G300 - BR-101, KM 101 - Mód. 1/2 - Distrito Industrial, Conde - PB, 58322-900","-7.272867, -34.937083"
LDB,"R. José Carlos Muffato, 1924 - Vila Josiane, Cambé - PR, 86187-025","-23.300680, -51.227788"
MAO,"Av. Buriti, 4019 - Distrito Industrial I, Manaus - AM, 69075-000","-3.107668, -59.958654"
MCZ,"BR-104, 2764 - Tabuleiro do Pinto, Rio Largo - AL, 57100-000","-9.489812, -35.816011"
MEA,"R. P Um, 04 - Granja dos Cavaleiros, Macaé - RJ, 27930-500","-22.391939, -41.814784"
MGF,"Rodovia Pr-317, 7466","-23.477636, -52.002371"
MOC,"Av. Gov. Magalhães Pinto, 3333 - Planalto, Montes Claros - MG, 39404-166","-16.703797, -43.834661"
MSS,"Av. Gury Marques, 4561 - Vila Cidade Morena, Campo Grande - MS, 79064-000","-20.542879, -54.593103"
NAT,"Braspress Transportes Urgentes | Natal - NAT, Marginal BR 101, 100 - KM 550 - Emaús, Parnamirim - RN, 59148-160","-5.891887, -35.253043"
NBR,"Av. Clériston Andrade, 4957 - Alphaville, Barreiras - BA, 47803-750","-14.908091, -40.870205"
NFG,"Av. Antônio Mario de Azevedo, 3134 - Corrego D'antas, Nova Friburgo - RJ, 28630-310","-22.258312, -42.553013"
NZA,"Av. Pinto Cobra, 970 - Passaredo, Pouso Alegre - MG, 37554-279","-22.227206, -45.921051"
PET,"Eixo Sul, BR-116 - Vila Princesa, Pelotas - RS, 96070-560","-31.657908, -52.338367"
PFB,"Braspress Transportes Urgentes| Passo Fundo - PFB, Av. Perimetral, S/N - São Cristovão, Passo Fundo - RS, 99064-44","-28.266997, -52.361633"
PGT,"Braspress Transportes Urgentes | Porangatu - PGT, Av. Adélino Américo de Azevedo, 367 - Centro, Porangatu - GO, 76550-000","-13.430723, -49.141253"
PGZ,"BRASPRESS, Av. Pres. Kennedy - Cará-Cará, Ponta Grossa - PR, 84043-450","-25.153624, -50.137994"
PMW,"Braspress Transportes Urgentes | Palmas - PMW, ASR SE 95, Alameda 11, S/N - 912 Sul QI-E, Lotes 14 a 18 - Plano Diretor Sul, Palmas - TO, 77023-480","-10.239263, -48.315589"
PNZ,"Av Coronel - Av. Clementino Coelho, 1022 - Atrás da Banca, Petrolina - PE, 56308-210","-9.396388, -40.51536"
POA,"Braspress Transportes Urgentes | Porto Alegre - POA, Condomínio Logístico Açorianos, Rua Amilton da Silva Amorim, nº 86 - Sanga Funda, Nova Santa Rita - RS, 92480-000
","-29.843512, -51.275301"
POJ,"R. Geraldo Teixeira da Cunha, 130 - Cidade Nova, Patos de Minas - MG, 38706-412","-18.615925, -46.511833"
PPR,"R. Sol Nascente, 150 - Parque das Cerejeiras, Pres. Prudente - SP, 19061-340","-22.131575, -51.419386"
PTO,"R. Pedro Ramires de Mello, 2081 - Menino Jesus, Pato Branco - PR, 85502-050","-26.236652, -52.690371"
PTU,"Braspress Transportes Urgentes | Paracatu - PTU, Rua Mercurio, 222 - Amoreira 2, Paracatu - MG, 38600-000","-17.210028, -46.874711"
QHV,"Novo Hamburgo - QHV, RS-239, 1601 - São José, Novo Hamburgo - RS, 93152-000","-29.662231, -51.129901"
QJA,"Av. Izídio Carlos Peixer, 68 - Ilha da Figueira, Guaramirim - SC, 89270-000","-26.485911, -48.999518"
R2C,"Braspress Transportes Urgentes | Rio - R2C, Rod. Washington Luiz, 2569 - Parque Duque, Duque de Caxias - RJ, 25085-008
","-22.785878, -43.287396"
R3J,"Braspress Transportes Urgentes | Rio - R2C, Rod. Washington Luiz, 2569 - Parque Duque, Duque de Caxias - RJ, 25085-008
","-22.785878, -43.287396"
RAO,"R. Prof. Antônio Paloci, 66 - Jardim Ouro Branco, Ribeirão Preto - SP, 14079-800","-21.156788, -47.755298"
RDS,"Braspress Transportes Urgentes | Rio do Sul - RDS, BR-470 - Canoas, Rio do Sul - SC, 89164-141
","-27.220465, -49.660102"
REC,"Braspress Transportes Urgentes | Recife - REC, BR-101 Sul, 3791 Bloco A, Lote 2025 Gleba 2BA1 - Ind. Sto. Estevão, Distr - PE, 54503-010","-8.254080, -35.007474"
RIA,"BR-392, 4161 - Km 345 - Lorenzi, Santa Maria - RS, 97070-160","-29.741606, -53.794332"
RIO,"Av. Arthur Antônio Sendas, 1200 - Parque Analândia, São João de Meriti - RJ","-22.801405, -43.348215"
RSN,"Braspress - RSN - Nova Serrana MG, R. Dois, 37 - Santa Sara, Nova Serrana - MG, 35524-482","-19.870034, -44.970444"
RVD,"Rua 13, S/N - Quadra O, Lotes 15 e 16 - César Bastos, Rio Verde - GO, 75905-200","-17.793554, -50.887767"
SAO,"Av. Monteiro Lobato, 4794 - Cidade Jardim Cumbica, Guarulhos - SP, 07180-000","-23.454530, -46.485610"
SBR,"R. Dom José, 1060 - Dom Jose, Sobral - CE, 62015-400","-3.692561, -40.370163"
SDR,"Av. Dr. Jéfferson G. Bruno, 900 - Paraíso, Resende - RJ, 27536-015","-22.456910, -44.414186"
SJK,"Av. Dr. Sebastião Henrique da Cunha Pontes, 1320 - Chácaras Reunidas, São José dos Campos - SP, 12238-365","-23.248623, -45.931920"
SJP,"Av. Mario Andreaza, 401 - Jardim São Marcos, São José do Rio Preto - SP, 15081-490","-20.838199, -49.357052"
SLZ,"Braspress Transportes Urgentes | São Luiz - SLZ, Rua 3/BR 135, 9 - Distrito Industrial, São Luís - MA, 65090-280","-2.636172, -44.267450"
SOD,"Av. Liberdade, 4001 - Iporanga, Sorocaba - SP, 18087-170","-23.452881, -47.399805"
SPY,"Stéfani Ribeirão Diesel Pneus - Loja Pirassununga, RUA MARIA SILVEIRA THERENSE, 4600 - Vila Belmiro, Pirassununga - SP, 13633-482","-22.033402, -47.433049"
SSA,"Braspress Transportes Urgentes | Salvador - SSA, R. José Roberto Otoni, 772 - Valéria, Salvador - BA, 41301-325","-12.877374, -38.423829"
SSZ,"Av. Min. Marcos Freire, 1860 - Gloria, Praia Grande - SP, 11724-205","-19.870048, -44.970428"
STO,"Rua Arnaldo Magniccaro, 521 - Módulo 1 - Jurubatuba, São Paulo - SP, 04691-060","-23.675100, -46.693182"
TFD,"R. Samuel Lucas, 233 - Jardim Julieta, São Paulo - SP, 02162-050","-23.489531, -46.561922"
THE,"Braspress Transportes Urgentes | Teresina - THE, Av. Henry Wall de Carvalho, 10930 - Angelim, Teresina - PI, 64034-278","-5.178228, -42.793989"
TRL,"Av. Ranulpho Marques Leal, 2651 - Jardim Angelica, Três Lagoas - MS, 79610-100","-20.784710, -51.674510"
UBA,"BR-050, 183 - Km 183, Área 1A - UBG São Francisco, Uberaba - MG, 38038-050","-19.809695, -47.900347"
UDI,"Braspress Transportes Urgentes | Uberlandia - UDI, R. Da Lavoura, 3333 - Minas Gerais, Uberlândia - MG, 38402-185","-18.866794, -48.255357"
UMU,"Av. Elídio Zago, 1319 - Parque Residencial Viena, Umuarama - PR, 87507-660","-23.797693, -53.320370"
URG,"Braspress Transportes Urgentes | Uruguaiana - URG, R. Dr. Edli Valenca, 699 - Santo Inacio, Uruguaiana - RS, 97505-160","-29.764620, -57.043910"
V2C,"Braspress Transportes Urgentes| Vitória - V2C, Av. Setecentos, S/N - TIMS, Serra - ES, 29161-414
","-20.200995, -40.314195"
VAG,"Av. Comendador Manoel Sendas, 300 - Parque Mariela, Varginha - MG, 37030-010","-21.558552, -45.454308"
VDC,"Braspress Transportes Urgentes | Vitoria da Conquista - VDC, Rod, BR-116 - Distrito Industrial, BA, 45089-340","-14.908043, -40.869846"
VIX,"R. Atalydes Moreira de Souza, 1656 - Civit I, Serra - ES, 29168-055","-20.159793, -40.241128"
XAP,"Braspress Transportes Urgentes | Chapecó - XAP, R. Valdemiro Belinski, 115 - Trevo, Chapecó - SC, 89810-000
","-27.001086, -52.652331"